year,player,pos,age,team,g,gs,mp,pts,trb,ast,fgpct,threeppct,ftpct
1984,Len Elmore,PF,31,NYK,65,5,832.0,155.0,165.0,30.0,40.8,,71.1
1984,Greg Kite,C,22,BOS,35,1,197.0,65.0,62.0,7.0,45.5,,31.3
1984,Dan Issel*,C,35,DEN,76,66,2076.0,1506.0,513.0,173.0,49.3,21.1,85.0
1984,Dan Roundfield,PF,30,ATL,73,72,2610.0,1380.0,721.0,184.0,48.5,,77.0
1984,Jeff Cook,C,27,CLE,81,21,1950.0,471.0,484.0,123.0,48.6,50.0,72.3
1984,Linton Townes,SF,24,SDC,2,0,17.0,6.0,1.0,1.0,42.9,,0.0
1984,Tom Chambers,PF,24,SEA,82,44,2570.0,1483.0,532.0,133.0,49.9,,80.0
1984,Junior Bridgeman,SF,30,MIL,81,10,2431.0,1220.0,332.0,265.0,46.5,19.4,80.7
1984,Darwin Cook,PG,25,NJN,82,31,1870.0,714.0,156.0,356.0,44.3,23.9,75.4
1984,Steve Stipanovich,C,23,IND,81,73,2426.0,970.0,562.0,170.0,48.0,18.8,75.3
1985,Dave Corzine,C,28,CHI,82,50,2062.0,701.0,422.0,140.0,48.6,,74.5
1985,Devin Durrant,SF,24,IND,59,8,756.0,300.0,124.0,80.0,41.6,,70.6
1985,Mark West,C,24,TOT,66,25,888.0,255.0,251.0,15.0,54.6,,49.4
1985,Bernard King*,SF,28,NYK,55,55,2063.0,1809.0,317.0,204.0,53.0,10.0,77.2
1985,Charles Jones,C-PF,27,TOT,31,4,667.0,174.0,184.0,26.0,52.8,,69.0
1985,Jim Petersen,PF,22,HOU,60,0,714.0,190.0,147.0,29.0,48.6,,75.8
1985,Dan Roundfield,PF,31,DET,56,43,1492.0,611.0,453.0,102.0,46.7,,78.1
1985,Edgar Jones,PF,28,SAS,18,1,322.0,129.0,62.0,18.0,48.4,,80.4
1985,Sam Perkins,PF,23,DAL,82,42,2317.0,903.0,605.0,135.0,47.1,25.0,82.0
1985,Fat Lever,PG,24,DEN,82,82,2559.0,1051.0,411.0,613.0,43.0,25.0,77.0
1985,Wayne Cooper,C,28,DEN,80,78,2031.0,969.0,631.0,86.0,47.2,,68.5
1985,Rickey Green,PG,30,UTA,77,77,2431.0,1000.0,189.0,597.0,47.7,30.0,86.9
1985,Jay Humphries,SG,22,PHO,80,39,2062.0,703.0,164.0,350.0,44.6,20.0,82.9
1985,Ray Williams,PG,30,BOS,23,5,459.0,147.0,57.0,90.0,38.5,26.1,67.4
1986,Lester Conner,PG,26,GSW,36,0,413.0,144.0,62.0,43.0,37.5,28.6,74.1
1986,Tony Campbell,SF,23,DET,82,1,1292.0,648.0,236.0,45.0,48.4,22.2,79.5
1986,Gus Williams,PG,32,WSB,77,67,2284.0,1036.0,166.0,453.0,42.8,25.9,73.4
1986,Larry Smith,PF,28,GSW,77,74,2441.0,740.0,856.0,95.0,53.6,,49.3
1986,Johnny Davis,SG,30,CLE,39,0,612.0,273.0,36.0,105.0,43.0,18.2,84.8
1986,Darwin Cook,PG,27,NJN,79,33,1965.0,629.0,177.0,390.0,42.6,20.8,75.7
1986,Mark Aguirre,SF,26,DAL,74,73,2501.0,1670.0,445.0,339.0,50.3,28.6,70.5
1986,Rory Sparrow,PG,27,NYK,74,74,2344.0,796.0,170.0,472.0,47.7,25.0,79.5
1986,Rickey Green,PG,31,UTA,80,44,2012.0,932.0,135.0,411.0,47.1,17.2,85.2
1986,James Bailey,PF,28,NYK,48,36,1245.0,533.0,334.0,50.0,45.6,,77.2
1986,James Donaldson,C,28,DAL,69,64,2241.0,573.0,664.0,84.0,56.8,,79.9
1986,Tyrone Corbin,SF,23,SAS,16,0,174.0,64.0,25.0,11.0,42.2,,71.4
1986,Jeff Turner,PF,23,NJN,53,1,650.0,226.0,137.0,14.0,49.1,,74.4
1986,Tony Brown,SG,25,CHI,10,0,132.0,45.0,16.0,14.0,43.9,,69.2
1986,Quintin Dailey,SG,25,CHI,35,0,723.0,569.0,68.0,67.0,43.2,,82.3
1987,Steve Colter,PG,24,PHI,43,13,849.0,293.0,66.0,116.0,47.1,50.0,72.1
1987,Tony Brown,SG,26,NJN,77,67,2339.0,873.0,219.0,259.0,44.2,25.0,73.8
1987,Keith Smith,SG,22,MIL,42,4,461.0,138.0,32.0,43.0,38.0,33.3,75.0
1987,Jack Sikma,C,31,MIL,82,82,2536.0,1045.0,822.0,203.0,46.3,,84.7
1987,Darren Daye,SF,26,CHI,1,0,7.0,0.0,1.0,1.0,0.0,,0.0
1987,Darwin Cook,SG,28,WSB,82,2,1420.0,614.0,145.0,151.0,42.6,8.7,79.6
1987,Rafael Addison,SF,22,PHO,62,12,711.0,359.0,106.0,45.0,44.1,32.0,79.7
1987,Clinton Smith,SG,23,GSW,41,0,341.0,127.0,56.0,45.0,42.7,,75.0
1987,A.C. Green,PF,23,LAL,79,72,2240.0,852.0,615.0,84.0,53.8,,78.0
1987,John Bagley,PG,26,CLE,72,67,2182.0,768.0,252.0,379.0,42.6,30.1,83.1
1987,Kevin Duckworth,C,22,TOT,65,1,875.0,352.0,223.0,29.0,47.6,,68.7
1987,Pat Cummings,PF,30,NYK,49,11,1056.0,423.0,312.0,38.0,45.0,,71.8
1987,Bill Walton*,C,34,BOS,10,0,112.0,28.0,31.0,9.0,38.5,,53.3
1987,Frank Brickowski,PF,27,LAL,37,0,404.0,146.0,97.0,12.0,56.4,,67.8
1987,Brad Davis,PG,31,DAL,82,6,1582.0,577.0,114.0,373.0,45.6,30.2,86.0
1988,Granville Waiters,C,27,CHI,22,0,114.0,18.0,28.0,1.0,31.0,,0.0
1988,Leon Wood,PG,25,SAS,38,8,830.0,352.0,51.0,155.0,42.6,39.8,75.8
1988,Dennis Johnson*,PG,33,BOS,77,74,2670.0,971.0,240.0,598.0,43.8,26.1,85.6
1988,Vinnie Johnson,SG,31,DET,82,1,1935.0,1002.0,231.0,267.0,44.3,20.8,67.7
1988,Joe Kleine,C,26,SAC,82,60,1999.0,801.0,579.0,93.0,47.2,,81.4
1988,Steve Colter,PG,25,WSB,56,53,1361.0,447.0,155.0,235.0,46.9,30.0,79.1
1988,Kevin Willis,PF,25,ATL,75,55,2091.0,871.0,547.0,28.0,51.8,,64.9
1988,Richard Anderson,PF,27,TOT,74,3,1350.0,448.0,303.0,112.0,39.0,32.0,75.3
1988,Ray Tolbert,PF,29,NYK,11,0,177.0,47.0,35.0,5.0,46.3,,52.9
1988,Buck Johnson,SF,24,HOU,70,2,879.0,378.0,168.0,49.0,52.0,12.5,73.6
1988,Wes Matthews,PG,28,LAL,51,8,706.0,289.0,66.0,138.0,46.0,23.3,83.1
1988,Charles Davis,SF,29,TOT,21,0,226.0,104.0,41.0,20.0,41.7,5.9,70.0
1988,Charles Davis,SF,29,MIL,5,0,39.0,12.0,3.0,3.0,33.3,,0.0
1988,Patrick Ewing*,C,25,NYK,82,82,2546.0,1653.0,676.0,125.0,55.5,,71.6
1988,Louis Orr,SF,29,NYK,29,0,180.0,40.0,34.0,9.0,32.0,,50.0
1988,John Battle,SG,25,ATL,67,1,1227.0,713.0,113.0,158.0,45.4,39.0,75.0
1988,T.R. Dunn,SG,32,DEN,82,1,1534.0,180.0,240.0,87.0,44.9,,76.9
1989,Ramon Rivas,C,22,BOS,28,0,91.0,40.0,24.0,3.0,38.7,,64.0
1989,Isiah Thomas*,PG,27,DET,80,76,2924.0,1458.0,273.0,663.0,46.4,27.3,81.8
1989,Tyrone Corbin,SF,26,PHO,77,30,1655.0,631.0,398.0,118.0,54.0,,78.8
1989,Larry Bird*,SF,32,BOS,6,6,189.0,116.0,37.0,29.0,47.1,,94.7
1989,John Long,SG,32,DET,24,0,152.0,49.0,11.0,15.0,47.5,,84.6
1989,Bernard Thompson,PF,26,HOU,23,0,222.0,62.0,28.0,13.0,33.9,,84.6
1989,Dave Popson,PF,24,LAC,10,0,68.0,23.0,16.0,6.0,44.0,,50.0
1989,Pat Cummings,PF,32,MIA,53,28,1096.0,466.0,281.0,47.0,50.0,,74.2
1989,James Worthy*,SF,27,LAL,81,81,2960.0,1657.0,489.0,288.0,54.8,8.7,78.2
1989,Gerald Wilkins,SG,25,NYK,81,58,2414.0,1161.0,244.0,274.0,45.1,29.7,75.6
1989,John Battle,SG,26,ATL,82,0,1672.0,779.0,140.0,197.0,45.7,32.4,81.5
1989,Bob Thornton,PF,26,PHI,54,0,449.0,127.0,92.0,15.0,42.3,33.3,53.3
1989,Orlando Graham,PF,23,GSW,7,0,22.0,8.0,11.0,0.0,30.0,,50.0
1989,Nate McMillan,PG,24,SEA,75,74,2341.0,532.0,388.0,696.0,41.0,21.4,63.0
1989,Rickey Green,PG,34,MIL,30,0,501.0,163.0,46.0,105.0,54.5,33.3,89.5
1989,Ricky Pierce,SG,29,MIL,75,4,2078.0,1317.0,197.0,156.0,51.8,22.2,85.9
1989,Herb Williams,C,30,TOT,76,66,2470.0,777.0,593.0,124.0,43.6,,68.6
1989,Vinny Del,SG,22,SAC,80,2,1556.0,569.0,171.0,206.0,47.5,30.0,85.0
1990,Randy White,PF,22,DAL,55,2,707.0,237.0,173.0,21.0,36.9,7.1,56.2
1990,Danny Young,PG,27,POR,82,8,1393.0,383.0,122.0,231.0,42.1,27.1,81.3
1990,Bernard King*,SF,33,WSB,82,82,2687.0,1837.0,404.0,376.0,48.7,13.0,80.3
1990,Vlade Divac,C,21,LAL,82,5,1611.0,701.0,512.0,75.0,49.9,,70.8
1990,Winston Garland,PG,25,GSW,51,4,891.0,270.0,111.0,157.0,37.5,10.0,84.1
1990,Michael Cooper,SG,33,LAL,80,10,1851.0,515.0,227.0,215.0,38.7,31.8,88.3
1990,Robert Reid,SF,34,TOT,72,28,1202.0,414.0,151.0,90.0,39.1,31.3,62.8
1990,Sam Perkins,SF,28,DAL,76,70,2668.0,1206.0,572.0,175.0,49.3,21.4,77.8
1990,Randy Wittman,SF,30,IND,61,0,544.0,130.0,30.0,39.0,50.8,50.0,83.3
1990,Paul Mokeski,C,33,CLE,38,1,449.0,151.0,99.0,17.0,42.0,,69.4
1990,Jerry Sichting,PG,33,MIL,1,0,27.0,3.0,0.0,2.0,0.0,,75.0
1990,Blair Rasmussen,C,27,DEN,81,55,1995.0,1001.0,594.0,82.0,49.7,,82.8
1990,Joe Dumars*,SG,26,DET,75,71,2578.0,1335.0,212.0,368.0,48.0,40.0,90.0
1990,Tito Horford,C,24,MIL,35,0,236.0,51.0,59.0,2.0,29.0,,62.5
1990,Terry Cummings,PF,28,SAS,81,78,2821.0,1818.0,677.0,219.0,47.5,32.2,78.0
1990,Derek Harper,PG,28,DAL,82,82,3007.0,1473.0,244.0,609.0,48.8,37.1,79.4
1990,Reggie Williams,SF,25,CLE,32,12,542.0,218.0,60.0,38.0,38.1,22.2,73.2
1990,Tom Garrick,SG,23,LAC,73,22,1721.0,508.0,162.0,289.0,49.4,19.0,77.2
1991,Hersey Hawkins,SG,24,PHI,80,80,3110.0,1767.0,310.0,299.0,47.2,40.0,87.1
1991,Anthony Cook,PF,23,DEN,58,25,1121.0,307.0,326.0,26.0,41.7,,55.0
1991,Rik Smits,C,24,IND,76,38,1690.0,828.0,357.0,84.0,48.5,,76.2
1991,Benoit Benjamin,C,26,TOT,70,65,2236.0,982.0,723.0,119.0,49.6,,71.2
1991,Alex English*,SF,37,DAL,79,26,1748.0,763.0,254.0,105.0,43.9,,85.0
1991,Roy Tarpley,C,26,DAL,5,5,171.0,102.0,55.0,12.0,54.4,,88.9
1991,Otis Thorpe,PF,28,HOU,82,82,3039.0,1435.0,846.0,197.0,55.6,42.9,69.6
1991,Lester Conner,PG,31,TOT,74,4,1008.0,260.0,112.0,165.0,46.4,,72.3
1991,Kiki Vandeweghe,SF,32,NYK,75,72,2420.0,1226.0,180.0,110.0,49.4,36.2,89.9
1991,John Battle,SG,28,ATL,79,2,1863.0,1078.0,159.0,217.0,46.1,28.6,85.4
1991,Adrian Caldwell,PF,24,HOU,42,0,343.0,77.0,100.0,8.0,42.2,,41.2
1991,Pat Cummings,PF,34,UTA,4,0,26.0,15.0,5.0,0.0,66.7,,70.0
1991,Michael Ansley,SF,23,ORL,67,1,877.0,379.0,253.0,25.0,54.8,,71.7
1991,Dee Brown,PG,22,BOS,82,5,1945.0,712.0,182.0,344.0,46.4,20.6,87.3
1991,Dennis Hopson,SF,25,CHI,61,0,728.0,264.0,109.0,65.0,42.6,20.0,66.3
1991,Walter Palmer,C,22,UTA,28,0,85.0,40.0,21.0,6.0,33.3,,66.7
1991,Olden Polynice,C,26,LAC,31,30,1132.0,381.0,283.0,26.0,57.9,,57.2
1991,Ken Bannister,PF,30,LAC,47,3,339.0,111.0,96.0,9.0,53.1,,38.5
1992,Eric Murdock,PG,23,UTA,50,0,478.0,203.0,54.0,92.0,41.5,19.2,75.4
1992,Joe Kleine,C,30,BOS,70,3,991.0,326.0,296.0,32.0,49.1,50.0,70.8
1992,Mitchell Wiggins,SG,32,PHI,49,0,569.0,211.0,94.0,22.0,38.4,,68.6
1992,Thurl Bailey,PF,30,UTA,13,0,327.0,122.0,78.0,19.0,38.6,,80.0
1992,Keith Owens,SF,22,LAL,20,0,80.0,26.0,15.0,3.0,28.1,,80.0
1992,Duane Causwell,C,23,SAC,80,77,2291.0,636.0,580.0,59.0,54.9,,61.3
1992,Terry Catledge,PF,28,ORL,78,67,2430.0,1154.0,549.0,109.0,49.6,,69.4
1992,John Starks,SG,26,NYK,82,0,2118.0,1139.0,191.0,276.0,44.9,34.8,77.8
1992,Michael Cage,PF,30,SEA,82,69,2461.0,720.0,728.0,92.0,56.6,,62.0
1992,Tate George,SG,23,NJN,70,2,1037.0,418.0,105.0,162.0,42.7,16.7,82.1
1992,Milos Babic,C,23,MIA,9,0,35.0,18.0,11.0,6.0,46.2,,75.0
1992,Antoine Carr,PF,30,SAS,81,27,1867.0,881.0,346.0,63.0,49.0,20.0,76.4
1992,Dee Brown,PG,23,BOS,31,20,883.0,363.0,79.0,164.0,42.6,22.7,76.9
1992,Keith Askins,SF,24,MIA,59,4,843.0,219.0,142.0,38.0,41.0,34.2,70.3
1992,Sleepy Floyd,PG,31,HOU,82,3,1662.0,744.0,150.0,239.0,40.6,30.1,79.4
1992,Armen Gilliam,PF,27,PHI,81,81,2771.0,1367.0,660.0,118.0,51.1,,80.7
1992,Morlon Wiley,PG,25,SAS,3,0,13.0,6.0,1.0,1.0,60.0,,0.0
1992,Kenny Anderson,PG,21,NJN,64,13,1086.0,450.0,127.0,203.0,39.0,23.1,74.5
1993,Mark Macon,PG,23,DEN,48,27,1141.0,358.0,103.0,126.0,41.5,,70.0
1993,Joe Courtney,PF,23,GSW,7,0,70.0,22.0,17.0,2.0,39.1,,80.0
1993,LaSalle Thompson,C,31,IND,63,0,730.0,237.0,178.0,34.0,48.8,,74.4
1993,Anthony Avent,PF,23,MIL,82,78,2285.0,806.0,512.0,91.0,43.3,,65.1
1993,Alan Ogg,C,25,MIL,3,0,26.0,8.0,6.0,4.0,33.3,,100.0
1993,Duane Causwell,C,24,SAC,55,45,1211.0,453.0,303.0,35.0,54.5,,62.4
1993,Don MacLean,PF,23,WSB,62,4,674.0,407.0,122.0,39.0,43.5,50.0,81.1
1993,Walt Williams,SF,22,SAC,59,26,1673.0,1001.0,265.0,178.0,43.5,31.9,74.2
1993,Scott Brooks,PG,27,HOU,82,0,1516.0,519.0,99.0,243.0,47.5,41.4,83.0
1993,Marcus Liberty,SF,24,DEN,78,32,1585.0,628.0,335.0,105.0,40.6,37.3,65.4
1993,Keith Askins,SF,25,MIA,69,1,935.0,227.0,198.0,31.0,41.3,33.8,72.5
1993,Brent Price,PG,24,WSB,68,9,859.0,262.0,103.0,154.0,35.8,16.7,79.4
1993,Ron Anderson,SF,34,PHI,69,0,1263.0,561.0,184.0,93.0,41.4,32.5,80.9
1993,Reggie Smith,C,22,POR,23,0,68.0,23.0,21.0,1.0,37.0,,21.4
1993,Tony Smith,SG,24,LAL,55,9,752.0,330.0,87.0,63.0,48.4,18.2,75.6
1993,Bill Cartwright,C,35,CHI,63,63,1253.0,354.0,233.0,83.0,41.1,,73.5
1993,Chuck Person,SF,28,MIN,78,75,2985.0,1309.0,433.0,343.0,43.3,35.5,64.9
1993,Rich King,C,23,SEA,3,0,12.0,6.0,5.0,1.0,40.0,,100.0
1994,Isiah Thomas*,PG,32,DET,58,56,1750.0,856.0,159.0,399.0,41.7,31.0,70.2
1994,Randy Woods,PG,23,LAC,40,0,352.0,145.0,29.0,71.0,36.8,34.6,57.1
1994,Greg Foster,PF,25,MIL,3,0,19.0,10.0,3.0,0.0,57.1,,100.0
1994,Anthony Avent,PF,24,ORL,41,20,676.0,144.0,184.0,32.0,34.1,,63.6
1994,Darren Morningstar,C,24,DAL,22,15,363.0,94.0,80.0,15.0,46.9,,60.0
1994,Sam Cassell,PG,24,HOU,66,6,1122.0,440.0,134.0,192.0,41.8,29.5,84.1
1994,Chris Jent,SF,24,HOU,3,0,78.0,31.0,15.0,7.0,50.0,36.4,50.0
1994,Marty Conlon,C,26,WSB,14,1,201.0,70.0,50.0,6.0,51.8,,80.0
1994,Antoine Carr,PF,32,SAS,34,0,465.0,198.0,51.0,15.0,48.8,,72.4
1994,Eric Anderson,PF,23,NYK,11,0,39.0,21.0,17.0,2.0,41.2,100.0,35.7
1994,Chris Whitney,PG,22,SAS,40,4,339.0,72.0,29.0,53.0,30.5,33.3,80.0
1994,George Lynch,SF,23,LAL,71,46,1762.0,681.0,410.0,96.0,50.8,,59.6
1994,Benoit Benjamin,C,29,NJN,77,74,1817.0,718.0,499.0,44.0,48.0,,71.0
1994,Chris Smith,PG,23,MIN,80,16,1617.0,473.0,122.0,285.0,43.5,25.6,67.4
1994,Kenny Anderson,PG,23,NJN,82,82,3135.0,1538.0,322.0,784.0,41.7,30.3,81.8
1994,Tony Smith,SG,25,LAL,73,31,1617.0,645.0,195.0,148.0,44.1,32.0,71.4
1994,Greg Kite,C,32,ORL,29,0,309.0,34.0,70.0,4.0,37.1,,36.4
1994,Tony Campbell,SF,31,TOT,63,14,1214.0,555.0,186.0,82.0,44.3,25.0,78.3
1994,James Worthy*,SF,32,LAL,80,2,1597.0,812.0,181.0,154.0,40.6,28.8,74.1
1995,Eric Murdock,PG,26,MIL,75,32,2158.0,977.0,214.0,482.0,41.5,37.5,79.0
1995,Jeff Malone,SG,33,PHI,19,19,660.0,350.0,55.0,29.0,50.7,39.3,86.4
1995,Sedale Threatt,PG,33,LAL,59,2,1384.0,558.0,124.0,248.0,49.7,37.9,79.3
1995,John Williams,SF,28,IND,34,0,402.0,100.0,62.0,27.0,35.7,33.3,56.0
1995,Brian Oliver,SG,26,WSB,6,0,42.0,14.0,4.0,4.0,44.4,,75.0
1995,Tyrone Corbin,SF,32,ATL,81,4,1389.0,502.0,262.0,67.0,44.2,25.0,68.4
1995,Lester Conner,SG,35,LAL,2,0,5.0,2.0,0.0,0.0,0.0,,100.0
1995,Scott Burrell,SF,24,CHH,65,62,2014.0,750.0,368.0,161.0,46.7,40.9,69.4
1995,Chris Childs,PG,27,NJN,53,11,1021.0,308.0,69.0,219.0,38.0,32.8,75.3
1995,Doug West,SG,27,MIN,71,65,2328.0,919.0,227.0,185.0,46.1,18.0,83.7
1995,Tracy Murray,SF,23,TOT,54,3,516.0,258.0,59.0,19.0,40.8,40.7,78.6
1995,Steve Colter,PG,32,CLE,57,7,752.0,196.0,59.0,101.0,39.6,22.9,76.1
1995,Nick Anderson,SG,27,ORL,76,76,2588.0,1200.0,335.0,314.0,47.6,41.5,70.4
1995,David Wood,PF,30,GSW,78,13,1336.0,428.0,241.0,65.0,46.9,34.1,77.8
1995,Greg Foster,PF,26,MIN,61,0,845.0,281.0,205.0,23.0,47.0,30.4,70.0
1995,Brian Grant,PF,22,SAC,80,59,2289.0,1058.0,598.0,99.0,51.1,25.0,63.6
1995,Derek Strong,PF,26,BOS,70,24,1344.0,441.0,375.0,44.0,45.3,28.6,82.0
1995,Greg Anderson,PF,30,ATL,51,0,622.0,148.0,188.0,17.0,54.8,,47.9
1996,Chris Carr,SG,21,PHO,60,10,590.0,240.0,102.0,43.0,41.5,26.2,81.7
1996,John Amaechi,PF,25,CLE,28,3,357.0,77.0,52.0,9.0,41.4,,57.6
1996,Jamie Watson,SF,23,UTA,16,0,217.0,48.0,27.0,24.0,41.9,42.9,69.2
1996,David Wood,PF,31,PHO,4,0,34.0,4.0,5.0,2.0,16.7,,100.0
1996,Frankie King,PG,23,LAL,6,0,20.0,7.0,2.0,2.0,27.3,,33.3
1996,Stacey King,PF,29,MIA,15,0,156.0,38.0,23.0,2.0,47.2,,50.0
1996,Duane Causwell,C,27,SAC,73,26,1044.0,250.0,248.0,20.0,41.7,,72.9
1996,Andrew Lang,C,29,ATL,51,51,1815.0,657.0,334.0,62.0,45.4,,80.5
1996,Kevin Edwards,SG,30,NJN,34,33,1007.0,394.0,75.0,71.0,36.4,40.4,81.0
1996,Spud Webb,PG,32,MIN,26,21,645.0,244.0,40.0,154.0,39.4,40.3,87.9
1996,Dontonio Wingfield,SF,21,POR,44,2,487.0,165.0,104.0,28.0,38.2,30.2,76.5
1996,Jason Caffey,PF,22,CHI,57,0,545.0,182.0,111.0,24.0,43.8,,58.8
1996,Eric Mobley,C,25,VAN,34,1,611.0,182.0,128.0,22.0,55.0,50.0,44.6
1996,Oliver Miller,PF,25,TOR,76,72,2516.0,982.0,562.0,219.0,52.6,,66.1
1996,Bob Thornton,PF,33,WSB,7,0,31.0,3.0,12.0,0.0,16.7,,50.0
1996,Kevin Pritchard,PG,28,WSB,2,0,22.0,7.0,2.0,7.0,66.7,100.0,66.7
1996,Kenny Anderson,PG,25,TOT,69,64,2344.0,1050.0,203.0,575.0,41.8,35.9,76.9
1996,Anthony Peeler,SG,26,LAL,73,12,1608.0,710.0,137.0,118.0,45.2,41.3,70.9
1996,Mike Brown,C,32,PHI,9,1,162.0,26.0,37.0,3.0,56.3,,47.1
1996,Chris Childs,PG,28,NJN,78,54,2408.0,1002.0,245.0,548.0,41.6,36.7,85.2
1996,John Salley,PF,31,TOT,42,6,673.0,185.0,140.0,54.0,45.0,,69.4
1996,Donald Hodge,C,26,TOT,15,0,115.0,18.0,23.0,4.0,37.5,,0.0
1997,Anthony Goldwire,PG,25,DEN,27,21,612.0,197.0,46.0,125.0,39.2,39.4,81.6
1997,Gerald Wilkins,SG,33,ORL,80,26,2202.0,848.0,173.0,173.0,42.6,32.5,71.6
1997,John Crotty,PG,27,MIA,48,0,659.0,232.0,47.0,102.0,51.3,40.8,84.4
1997,Lorenzo Williams,C,27,WSB,19,0,264.0,45.0,69.0,4.0,64.5,,71.4
1997,James Scott,SF,24,MIA,8,0,32.0,1.0,6.0,3.0,0.0,,50.0
1997,Erick Dampier,C,21,IND,72,21,1052.0,370.0,294.0,43.0,39.0,100.0,63.7
1997,Aaron McKie,SG,24,TOT,83,11,1625.0,433.0,221.0,161.0,41.1,39.8,83.6
1997,Ben Davis,PF,24,PHO,20,0,98.0,29.0,27.0,0.0,38.5,,45.0
1997,Corliss Williamson,SF,23,SAC,79,31,1992.0,915.0,326.0,124.0,49.8,,68.9
1997,Joe Kleine,C,35,NJN,28,0,453.0,84.0,114.0,23.0,42.7,50.0,72.2
1997,Anthony Miller,PF,25,ATL,1,0,14.0,0.0,7.0,0.0,0.0,,0.0
1997,Greg Anderson,C,32,SAS,82,48,1659.0,322.0,448.0,34.0,49.6,,66.7
1997,Darrin Hancock,SF,25,ATL,14,0,86.0,34.0,13.0,7.0,48.1,,66.7
1997,Brooks Thompson,PG,26,TOT,67,6,1055.0,445.0,96.0,180.0,39.9,39.8,63.2
1997,Joe Courtney,PF,27,TOT,9,0,100.0,25.0,16.0,0.0,36.7,,60.0
1997,LaSalle Thompson,C,35,IND,9,0,35.0,3.0,8.0,2.0,0.0,,75.0
1997,Ricky Pierce,SG,37,DEN,33,10,600.0,335.0,53.0,31.0,46.2,30.8,90.2
1997,Mark Jackson,PG,31,IND,30,30,1053.0,271.0,124.0,294.0,42.7,31.6,76.6
1997,Antonio McDyess,PF,22,DEN,74,73,2565.0,1352.0,537.0,106.0,46.3,17.1,70.8
1997,Craig Ehlo,SG,35,SEA,62,0,848.0,214.0,110.0,68.0,35.1,28.4,50.0
1997,Elliot Perry,PG,27,MIL,82,3,1595.0,562.0,124.0,247.0,47.4,35.8,74.5
1997,Jamie Watson,SF,24,TOT,23,6,340.0,78.0,47.0,33.0,43.1,33.3,75.0
1997,Bill Wennington,C,33,CHI,61,19,783.0,280.0,129.0,41.0,49.8,,83.0
1998,Matt Bullard,SF,30,HOU,67,24,1190.0,466.0,146.0,60.0,45.0,41.6,74.1
1998,Ray Allen,SG,22,MIL,82,82,3287.0,1602.0,405.0,356.0,42.8,36.4,87.5
1998,Bryant Reeves,C,24,VAN,74,74,2527.0,1207.0,585.0,155.0,52.3,,70.6
1998,Monty Williams,SF,26,SAS,72,16,1314.0,453.0,179.0,89.0,44.8,50.0,67.0
1998,Henry James,PF,32,CLE,28,0,166.0,80.0,15.0,5.0,40.7,44.0,95.5
1998,Jerome Kersey,SF,35,SEA,37,2,717.0,234.0,135.0,44.0,41.6,10.0,60.0
1998,Willie Burton,SF,29,SAS,13,0,43.0,27.0,9.0,1.0,38.1,33.3,66.7
1998,Donald Royal,SF,31,CHH,29,5,305.0,74.0,37.0,16.0,38.1,,89.7
1998,Vlade Divac,C,29,CHH,64,41,1805.0,667.0,518.0,172.0,49.8,21.4,69.1
1998,Eric Piatkowski,SG,27,LAC,67,35,1740.0,760.0,236.0,85.0,45.2,40.9,82.4
1998,Travis Williams,SF,28,CHH,39,0,365.0,136.0,92.0,20.0,47.1,,52.2
1998,Randy Brown,PG,29,CHI,71,6,1147.0,288.0,94.0,151.0,38.4,,71.8
1998,Anthony Goldwire,PG,26,DEN,82,32,2212.0,751.0,147.0,277.0,42.3,38.4,80.6
1998,Brian Oliver,SG,29,ATL,5,0,61.0,15.0,9.0,2.0,36.8,,25.0
1998,Carl Thomas,SG,28,CLE,29,0,272.0,77.0,37.0,9.0,38.6,39.5,61.5
1998,David Vaughn,PF,24,NJN,15,2,161.0,44.0,49.0,2.0,57.6,,66.7
1998,Kenny Anderson,PG,27,TOT,61,56,1858.0,746.0,173.0,345.0,39.8,35.6,78.9
1998,Avery Johnson,PG,32,SAS,75,73,2674.0,766.0,150.0,591.0,47.8,15.4,72.6
1998,Shawn Bradley,C,25,DAL,64,46,1822.0,731.0,518.0,60.0,42.2,33.3,72.2
1998,Adrian Caldwell,PF,31,DAL,1,0,3.0,0.0,0.0,0.0,0.0,,0.0
1998,Dickey Simpkins,PF,25,GSW,19,0,196.0,54.0,46.0,16.0,45.8,,38.5
1998,Jeff Hornacek,SG,34,UTA,80,80,2460.0,1139.0,270.0,349.0,48.2,44.1,88.5
1999,Mikki Moore,C,23,DET,2,0,6.0,4.0,1.0,0.0,100.0,,100.0
1999,Herb Williams,C,40,NYK,6,0,34.0,10.0,6.0,0.0,50.0,,100.0
1999,Carlos Rogers,PF,27,POR,2,0,8.0,5.0,1.0,1.0,100.0,,25.0
1999,Cedric Ceballos,SF,29,DAL,13,5,352.0,163.0,85.0,12.0,42.1,39.3,69.4
1999,Glenn Robinson,SF,26,MIL,47,47,1579.0,865.0,276.0,100.0,45.9,39.2,87.0
1999,Chris Carr,SG,24,MIN,11,2,81.0,23.0,12.0,7.0,34.6,33.3,50.0
1999,Corey Beck,PG,27,DET,8,0,30.0,10.0,5.0,0.0,50.0,,100.0
1999,John Coker,C,27,WAS,14,0,98.0,31.0,22.0,0.0,41.9,,83.3
1999,Jim Jackson,SG,28,POR,49,9,1175.0,414.0,159.0,128.0,41.1,27.8,84.2
