year,player,pos,age,team,g,gs,mp,pts,trb,ast,fgpct,threeppct,ftpct
1964,Frank Ramsey*,SG,32,BOS,75,0,1227.0,648.0,223.0,81.0,37.4,,84.1
1964,Gerry Ward,SG,22,STL,24,0,139.0,43.0,21.0,21.0,30.2,,64.7
1964,Dave DeBusschere*,SF,23,DET,15,0,304.0,129.0,105.0,23.0,39.1,,58.1
1964,Bob Pettit*,PF,31,STL,80,0,3296.0,2190.0,1224.0,259.0,46.3,,78.9
1965,Darrall Imhoff,C,26,LAL,76,0,1521.0,378.0,500.0,87.0,46.6,,57.1
1965,Mike Farmer,SF,28,STL,60,0,1272.0,409.0,258.0,88.0,40.9,,79.8
1965,Wayne Hightower,PF,25,SFW,48,0,1037.0,405.0,247.0,38.0,34.3,,76.9
1965,Guy Rodgers*,SG,29,SFW,79,0,2699.0,1153.0,323.0,565.0,38.0,,68.6
1965,Dave DeBusschere*,PF,24,DET,79,0,2769.0,1322.0,874.0,253.0,42.5,,70.0
1966,Ben Warley,SF,29,PHI,1,0,6.0,2.0,2.0,0.0,33.3,,0.0
1966,Paul Silas,PF,22,STL,46,0,586.0,175.0,236.0,22.0,40.5,,57.4
1966,Jim Washington,PF,22,STL,65,0,1104.0,384.0,353.0,43.0,40.2,,56.7
1966,Joe Caldwell,SF,24,STL,46,0,1141.0,655.0,246.0,61.0,44.7,,71.7
1966,Ray Scott,PF,27,DET,79,0,2652.0,1411.0,755.0,238.0,41.6,,74.3
1967,Hank Finkel,C,24,LAL,27,0,141.0,41.0,64.0,5.0,36.2,,58.3
1967,Tom Sanders*,SF,28,BOS,81,0,1926.0,824.0,439.0,91.0,42.8,,81.7
1967,John Block,PF,22,LAL,22,0,118.0,64.0,45.0,5.0,38.5,,70.6
1967,Em Bryant,PG,28,NYK,63,0,1593.0,546.0,273.0,218.0,40.9,,64.9
1967,Walt Hazzard,PG,24,LAL,79,0,1642.0,731.0,231.0,323.0,42.6,,72.9
1968,Don Nelson*,SF,27,BOS,82,0,1498.0,819.0,431.0,103.0,49.4,,72.8
1968,Don Ohl,PG,31,TOT,70,0,1919.0,983.0,175.0,157.0,44.1,,77.6
1968,Ken Wilburn,SF,23,CHI,3,0,26.0,11.0,10.0,2.0,55.6,,25.0
1968,Happy Hairston,PF,25,DET,26,0,892.0,490.0,262.0,37.0,45.9,,71.7
1968,Earl Monroe*,SG,23,BAL,82,0,3012.0,1991.0,465.0,349.0,45.3,,78.1
1968,Dave Gambee,PF,30,SDR,80,0,1755.0,1071.0,464.0,93.0,44.0,,84.7
1968,Erwin Mueller,C,23,LAL,39,0,973.0,325.0,222.0,78.0,52.0,,59.2
1969,Bill Bradley*,SF,25,NYK,82,0,2413.0,1020.0,350.0,302.0,42.9,,81.4
1969,John Tresvant,PF,29,SEA,26,0,801.0,354.0,267.0,63.0,48.8,,67.3
1969,Bob Quick,SF,22,BAL,28,0,154.0,87.0,25.0,12.0,41.1,,61.4
1969,Walt Bellamy*,C,29,TOT,88,0,3159.0,1527.0,1101.0,176.0,51.0,,64.9
1969,Richie Guerin*,SG,36,ATL,27,0,472.0,151.0,59.0,99.0,42.3,,77.0
1969,Ed Manning,PF,25,BAL,63,0,727.0,293.0,246.0,21.0,44.8,,64.8
1969,Doug Sims,F,25,CIN,4,0,12.0,4.0,4.0,0.0,40.0,,0.0
1969,Oscar Robertson*,PG,30,CIN,79,0,3461.0,1955.0,502.0,772.0,48.6,,83.8
1970,Art Harris,SG,23,SEA,5,0,178.0,60.0,19.0,20.0,38.4,,44.4
1970,Johnny Green,PF,36,CIN,78,0,2278.0,1216.0,841.0,112.0,55.9,,59.2
1970,Bill Turner,SF,25,SFW,3,0,75.0,23.0,14.0,1.0,52.9,,50.0
1970,Luke Jackson,PF,28,PHI,37,0,583.0,202.0,198.0,50.0,39.2,,74.1
1970,Dorie Murrey,C,26,SEA,81,0,1079.0,442.0,357.0,76.0,44.6,,73.1
1970,Dick Snyder,SG,25,SEA,76,0,2290.0,1030.0,308.0,333.0,53.1,,81.0
1970,Bob Quick,SF,23,TOT,34,0,364.0,175.0,75.0,14.0,45.3,,69.0
1970,Art Harris,SG,23,TOT,81,0,1553.0,656.0,161.0,231.0,39.4,,64.2
1971,Bob Portman,SG,23,SFW,68,0,1395.0,519.0,321.0,67.0,45.8,,72.6
1971,Greg Fillmore,C,23,NYK,39,0,271.0,103.0,93.0,17.0,44.1,,48.1
1971,Archie Clark,PG,29,PHI,82,0,3245.0,1746.0,391.0,440.0,49.6,,78.7
1971,Dave Sorenson,PF,22,CLE,79,0,1940.0,890.0,486.0,163.0,44.5,,80.3
